user key,datetime,meter reading,diff
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 23:17:50,179015,2
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 22:17:50,179013,7
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 21:17:50,179006,0
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 20:17:50,179006,4
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 19:17:50,179002,9
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 18:17:50,178993,1
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 17:17:50,178992,12
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 16:17:50,178980,42
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 15:17:50,178938,31
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 14:17:53,178907,23
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 13:17:53,178884,9
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 12:17:53,178875,12
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 11:17:53,178863,50
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 10:17:51,178813,34
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 09:17:51,178779,53
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 08:17:51,178726,45
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 07:17:51,178681,0
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 06:17:56,178681,0
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 05:17:56,178681,0
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 04:17:56,178681,0
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 03:17:56,178681,0
1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 02:17:53,178681,1
